"tract","Name","Household_Income_rP_gP_p75"
36119004900,"Scarsdale, NY",67138
36059300800,"Great Neck, NY",67136
36059302000,"Roslyn, NY",67111
36103111401,"Huntington Station, NY",67100
36081000800,"Queens County, NY",67100
36047059300,"Kings County, NY",67072
36119004600,"Bronxville, NY",67040
36103111601,"East Northport, NY",67028
36047059401,"Kings County, NY",67027
36081026100,"Queens County, NY",67000
36059414700,"Merrick, NY",66975
36103146901,"West Islip, NY",66975
36059520600,"Farmingdale, NY",66901
36059416900,"Lido Beach, NY",66880
36059413700,"Baldwin, NY",66870
36081146700,"Queens County, NY",66863
36103112214,"Huntington Station, NY",66861
36047026000,"Kings County, NY",66860
36059521602,"Massapequa Park, NY",66821
36081051500,"Queens County, NY",66812
36081015100,"Queens County, NY",66795
36059301101,"Port Washington, NY",66790
36047075400,"Kings County, NY",66762
36081015300,"Queens County, NY",66732
36119005300,"Pelham, Village of Pelham, NY",66729
36059406002,"West Hempstead, NY",66728
36081129103,"Queens County, NY",66725
36081148300,"Queens County, NY",66658
36059413803,"Baldwin, NY",66658
36103110402,"Centerport, NY",66634
34003016000,"Englewood Cliffs, NJ",66612
36081020500,"Queens County, NY",66577
36059409000,"Levittown, NY",66562
34003010100,"Dumont, NJ",66538
36059408300,"East Meadow, NY",66502
36059408600,"Levittown, NY",66488
36059409600,"North Wantagh, Wantagh, NY",66445
36081049700,"Queens County, NY",66407
36081088901,"Queens County, NY",66395
36047064000,"Kings County, NY",66394
36119009701,"White Plains, NY",66366
36059519400,"Hicksville, Hicksville, NY",66349
36047045000,"Kings County, NY",66344
36103122300,"Farmingdale, NY",66319
36081047600,"Queens County, NY",66309
36059411200,"Cedarhurst, NY",66299
36103147100,"Bay Shore, NY",66279
36081062500,"Queens County, NY",66272
36005028600,"Bronx County, NY",66262
36047030600,"Kings County, NY",66250
36061014802,"Upper East Side, New York, NY",66227
36081088400,"Queens County, NY",66209
36047030400,"Kings County, NY",66196
36081045700,"Queens County, NY",66188
36059409100,"Levittown, NY",66185
36061015002,"Upper East Side, New York, NY",66177
36103111704,"East Northport, NY",66126
36047063800,"Kings County, NY",66118
36047069800,"Kings County, NY",66090
36005028800,"Bronx County, NY",66089
36103112206,"Melville, NY",66086
36059519100,"Hicksville, Hicksville, NY",66086
36047070000,"Kings County, NY",66075
36059416300,"Atlantic Beach, NY",66044
36059517301,"Glen Cove, NY",66044
36081099704,"Queens County, NY",66033
36047029600,"Kings County, NY",66029
36047051500,"Kings County, NY",66028
36103135201,"Commack, NY",66016
36119005800,"New Rochelle, NY",65996
36059520900,"Massapequa, NY",65988
36081024300,"Queens County, NY",65984
36059409200,"Levittown, NY",65969
36047027000,"Kings County, NY",65951
36081045800,"Queens County, NY",65910
34003019305,"Fort Lee, NJ",65890
36059304002,"Westbury, NY",65840
36103135102,"Commack, NY",65833
36059303600,"Mineola, NY",65833
36059521301,"Massapequa, NY",65798
36081010100,"Queens County, NY",65787
36005016000,"Bronx County, NY",65787
36059517802,"Locust Valley, NY",65760
34003010200,"Dumont, NJ",65739
36081025302,"Queens County, NY",65730
36081145102,"Queens County, NY",65682
36081119500,"Queens County, NY",65676
36047058600,"Kings County, NY",65661
36081093402,"Queens County, NY",65654
36081162100,"Queens County, NY",65634
36061003001,"Lower Manhattan, New York, NY",65600
34003009200,"Haworth, NJ",65571
36047055400,"Kings County, NY",65561
36103135104,"Smithtown, NY",65539
36059413100,"Oceanside, NY",65522
36059405400,"Elmont, NY",65504
36059520401,"Farmingdale, NY",65463
36059302200,"Roslyn Heights, NY",65435
36059301800,"Manhasset, NY",65388
36047035601,"Kings County, NY",65352
36119008403,"Harrison, NY",65351
36059412200,"East Rockaway, NY",65341
36119001504,"Southeast Yonkers, Yonkers, NY",65340
36005026400,"Bronx County, NY",65331
36119010702,"Scarsdale, NY",65317
36081117500,"Queens County, NY",65281
34003010300,"Dumont, NJ",65254
36081134100,"Queens County, NY",65243
36081014900,"Queens County, NY",65240
36081045900,"Queens County, NY",65208
36081008500,"Queens County, NY",65183
36059410800,"Valley Stream, NY",65181
36047059200,"Kings County, NY",65172
36081107201,"Queens County, NY",65150
36103111504,"Huntington, NY",65135
36059520501,"South Farmingdale, NY",65104
36081077902,"Queens County, NY",65087
